self-tests passed (product probe at sigma = 0, unit cross-purities, deep m2 = 0.984615 = D/(D+1))

n = 8, tau_r = 8, tau_p = 4, P = 210
       probe   purity       m2        m3         m4      r3      r4   (Haar floor m2 = 0.9961)
     sigma=0   1.0000   1.1676         -          -       -       -   [0 s]
   sigma=0.1   0.9459   1.1642         -          -       -       -   [0 s]
   sigma=0.2   0.8364   1.1528         -          -       -       -   [0 s]
   sigma=0.5   0.6554   1.0803         -          -       -       -   [0 s]
     sigma=1   0.5272   1.0618         -          -       -       -   [0 s]
   solution0   0.2341   1.0358         -          -       -       -   [0 s]
   solution1   0.2341   1.0358         -          -       -       -   [0 s]
   solution2   0.2341   1.0358         -          -       -       -   [0 s]
   solution3   0.2341   1.0359         -          -       -       -   [0 s]
   solution4   0.2341   1.0359         -          -       -       -   [0 s]

The scale ladder is the same field at different points of the same manifold: m_k is a function of the probe, not a number attached to delta. The solution rows are the points the reach measurements visit.
